id,Response
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,1
27,0
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,0
77,0
78,1
79,1
80,1
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,1
89,0
90,1
91,1
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,0
105,0
106,1
107,1
108,0
109,0
110,0
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,1
129,0
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,1
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,1
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,1
235,0
236,1
237,0
238,0
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,1
283,0
284,1
285,1
286,1
287,0
288,1
289,0
290,1
291,1
292,0
293,0
294,1
295,0
296,1
297,1
298,0
299,1
300,1
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,1
330,0
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,0
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,1
361,1
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,0
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,0
398,0
399,1
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,0
418,1
419,0
420,0
421,0
422,1
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,0
433,1
434,0
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,0
443,1
444,0
445,0
446,1
447,1
448,0
449,1
450,1
451,0
452,1
453,0
454,1
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,1
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,1
485,0
486,1
487,0
488,0
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,1
497,1
498,0
499,1
500,1
501,0
502,1
503,1
504,0
505,1
506,1
507,1
508,1
509,0
510,0
511,1
512,1
513,1
514,0
515,0
516,0
517,0
518,1
519,1
520,1
521,0
522,0
523,0
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,1
533,1
534,0
535,0
536,0
537,1
538,0
539,1
540,1
541,0
542,0
543,1
544,1
545,1
546,1
547,1
548,0
549,0
550,1
551,0
552,0
553,0
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,0
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,0
586,0
587,1
588,1
589,0
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,0
598,0
599,0
600,1
601,1
602,1
603,1
604,1
605,1
606,0
607,0
608,0
609,0
610,1
611,1
612,1
613,0
614,0
615,0
616,1
617,0
618,1
619,1
620,0
621,0
622,0
623,1
624,0
625,1
626,0
627,0
628,1
629,0
630,1
631,0
632,1
633,1
634,0
635,1
636,1
637,0
638,0
639,0
640,0
641,1
642,0
643,1
644,0
645,1
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,1
654,0
655,1
656,1
657,0
658,1
659,1
660,0
661,1
662,0
663,1
664,1
665,1
666,0
667,1
668,0
669,0
670,1
671,1
672,0
673,1
674,0
675,0
676,0
677,1
678,0
679,1
680,1
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,1
689,0
690,0
691,0
692,1
693,1
694,0
695,0
696,1
697,1
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,1
707,1
708,1
709,0
710,0
711,0
712,0
713,0
714,1
715,1
716,0
717,1
718,0
719,0
720,1
721,0
722,1
723,1
724,0
725,1
726,1
727,0
728,0
729,0
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,1
738,0
739,0
740,0
741,0
742,1
743,1
744,0
745,0
746,0
747,1
748,1
749,1
750,1
751,0
752,1
753,0
754,1
755,1
756,1
757,1
758,1
759,1
760,0
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,0
769,0
770,1
771,0
772,1
773,1
774,0
775,0
776,0
777,1
778,0
779,0
780,0
781,0
782,1
783,0
784,0
785,1
786,0
787,1
788,1
789,1
790,0
791,1
792,0
793,1
794,0
795,0
796,1
797,1
798,0
799,0
800,1
801,1
802,0
803,1
804,1
805,1
806,1
807,0
808,1
809,1
810,0
811,0
812,0
